Ucas Cycle,FINAL COURSE - Course Group,UK/International Domicile,Offer?,Interview Subject 1,Interview Subject 2,College 1 Subject 1 Interview 1 Score,College 1 Subject 2 Interview 1 Score,College 1 Subject 1 Interview 2 Score,College 1 Subject 2 Interview 2 Score,College 2 Subject 1 Interview 1 Score,College 2 Subject 1 Interview 2 Score,College 2 Subject 2 Interview 1 Score,College 3 Subject 1 Interview 1 Score,College 3 Subject 1 Interview 2 Score,
2020,Computer Science,International,N,Computer Science,,7.33,,6.33,,5,,,,,
2020,Computer Science,International,N,Computer Science,,6,,,,,,,,,
2020,Computer Science,International,Y,Computer Science,,7,,7.33,,6.67,,,,,
2020,Computer Science,International,N,Computer Science,,7,,6.33,,6.33,,,,,
2020,Computer Science,International,Y,Computer Science,,8,,8,,8,,,,,
2020,Computer Science,International,Y,Computer Science,,7,,7.33,,8,9,,,,
2020,Computer Science,International,N,Computer Science,,8,,6.33,,4,,,,,
2020,Computer Science,International,N,Computer Science,,7,,6.33,,7.33,,,,,
2020,Computer Science,International,N,Computer Science,,6.33,,,,6,,,,,
2020,Computer Science,International,N,Computer Science,,6,,6.67,,7.33,,,,,
2020,Computer Science,International,N,Computer Science,,7.33,,8,,6.67,,,,,
2020,Computer Science,International,Y,Computer Science,,8,,8,,8,,,,,
2020,Computer Science,International,N,Computer Science,,7,,,,6.33,,,,,
2020,Computer Science,International,N,Computer Science,,5,,6,,6.33,,,,,
2020,Computer Science,International,N,Computer Science,,5,,,,,,,,,
2020,Computer Science,International,Y,Computer Science,,6.67,,8,,6.33,,,,,
2020,Computer Science,International,N,Computer Science,,6,,7.33,,7.33,,,,,
2020,Computer Science,International,N,Computer Science,,3,,7,,7,7,,,,
2020,Computer Science,International,N,Computer Science,,8,,8,,6.67,,,,,
2020,Computer Science,International,Y,Computer Science,,8,,8,,7.33,,,,,
2020,Computer Science,International,N,Computer Science,,6,,,,,,,,,
2020,Computer Science,International,N,Computer Science,,6,,6,,6.67,,,,,
2020,Computer Science,International,Y,Computer Science,,8,,6.33,,6.33,,,,,
2020,Computer Science,International,N,Computer Science,,4,,6,,,,,,,
2020,Computer Science,International,N,Computer Science,,6.67,,,,6.33,,,,,
2020,Computer Science,International,N,Computer Science,,5,,5,,6,,,,,
2020,Computer Science,International,N,Computer Science,,7.33,,6,,7.33,,,,,
2020,Computer Science,International,Y,Computer Science,,8,,,,8,,,,,
2020,Computer Science,International,N,Computer Science,,6,,,,,,,,,
2020,Computer Science,International,Y,Computer Science,,7.33,,,,7.33,,,,,
2020,Computer Science,International,N,Computer Science,,6,,6,,,,,,,
2020,Computer Science,International,Y,Computer Science,,7.33,,8,,8,,,,,
2020,Computer Science,International,N,Computer Science,,8,,6.33,,6.33,,,,,
2020,Computer Science,International,N,Computer Science,,6,,,,6,,,,,
2020,Computer Science,International,N,Computer Science,,6.67,,,,,,,,,
2020,Computer Science,International,N,Computer Science,,5,,6,,4,,,,,
2020,Computer Science,International,N,Computer Science,,5,,6.33,,8,,,,,
2020,Computer Science,International,N,Computer Science,,8,,6.67,,6.67,,,,,
2020,Computer Science,International,N,Computer Science,,6.33,,,,7,,,,,
2020,Computer Science,International,N,Computer Science,,7,,6,,6,,,,,
2020,Computer Science,International,N,Computer Science,,7.33,,7,,5,6.33,,,,
2020,Computer Science,International,N,Computer Science,,7,,,,,,,,,
2020,Computer Science,International,N,Computer Science,,6,,5,,6,,,,,
2020,Computer Science,International,N,Computer Science,,6,,,,6,,,,,
2020,Computer Science,International,N,Computer Science,,6,,6.33,,6.67,,,,,
2020,Computer Science,International,Y,Mathematics,Computer Science,7.33,8,6.67,,7.33,,,,,
2020,Computer Science,International,N,Computer Science,,7,,6.33,,6,,,,,
2020,Computer Science,International,Y,Computer Science,,7.33,,7.33,,6.33,,,,,
2020,Computer Science,International,N,Computer Science,,5,,5,,6,5,,,,
2020,Computer Science,International,Y,Computer Science,,8,,7.33,,7.33,7.33,,,,
2020,Computer Science,International,N,Computer Science,,5,,7,,7.33,,,,,
2020,Computer Science,International,Y,Computer Science,,7.33,,8,,7,,,,,
2020,Computer Science,International,Y,Computer Science,,8,,,,7.33,,,,,
2020,Computer Science,International,N,Computer Science,,6,,6.33,,6,,,,,
2020,Computer Science,International,N,Computer Science,,7.33,,8,,4,,,,,
2020,Computer Science,International,N,Computer Science,,5,,6,,6,,,,,
2020,Computer Science,International,N,Computer Science,,5,,,,,,,,,
2020,Computer Science,International,Y,Computer Science,,8,,7.33,,8,7,,,,
2020,Computer Science,International,N,Computer Science,,7,,7,,6.67,,,,,
2020,Computer Science,International,Y,Computer Science,,8,,7,,8,,,,,
2020,Computer Science,International,N,Computer Science,,6.67,,7,,6.33,,,,,
2020,Computer Science,International,N,Computer Science,,6.33,,6,,6.33,,,,,
2020,Computer Science,International,N,Computer Science,,6,,6.33,,4,,,,,
2020,Computer Science,International,Y,Computer Science,,7.33,,8,,8,,,,,
2020,Computer Science,International,N,Computer Science,,5,,6.67,,6.33,,,,,
2020,Computer Science,International,Y,Computer Science,,7,,6.67,,6,,,,,
2020,Computer Science,International,N,Computer Science,,6,,6.33,,,,,,,
2020,Computer Science,International,N,Computer Science,,6.67,,,,,,,,,
2020,Computer Science,International,N,Computer Science,,6,,6.33,,6.67,,,,,
2020,Computer Science,International,Y,Computer Science,,8,,7.33,,7,,,,,
2020,Computer Science,International,Y,Computer Science,,7,,7,,6.33,,,,,
2020,Computer Science,International,N,Computer Science,,7.33,,,,,,,,,
2020,Computer Science,International,Y,Computer Science,,7.33,,,,,,,,,
2020,Computer Science,International,Y,Computer Science,,7.33,,6.33,,8,7,,,,
2020,Computer Science,International,Y,Computer Science,,7.33,,,,8,,,,,
2020,Computer Science,International,N,Computer Science,,7,,7.33,,6.67,6.67,,,,
2020,Computer Science,UK,N,Computer Science,,5,,6,,6.33,,,,,
2020,Computer Science,UK,N,Computer Science,,6.67,,7.33,,7,,,,,
2020,Computer Science,UK,N,Computer Science,,3,,5,,5,,,,,
2020,Computer Science,UK,Y,Computer Science,,6.33,,8,,6.33,6.33,,,,
2020,Computer Science,UK,Y,Computer Science,,7.33,,6,,8,7.33,,,,
2020,Computer Science,UK,Y,Computer Science,,6.67,,7.33,,6.67,6.67,,,,
2020,Computer Science,UK,N,Computer Science,,7,,6.33,,6,,,,,
2020,Computer Science,UK,N,Computer Science,,6.67,,6,,6.67,,,,,
2020,Computer Science,UK,N,Computer Science,,6,,6.67,,6.33,,,,,
2020,Computer Science,UK,N,Computer Science,,7,,5,,6,,,,,
2020,Computer Science,UK,N,Computer Science,,6,,6.33,,6,,,,,
2020,Computer Science,UK,N,Computer Science,,6,,5,,6.33,,,,,
2020,Computer Science,UK,N,Computer Science,,7,,5,,6,,,,,
2020,Computer Science,UK,Y,Computer Science,,7,,7,,6,,,,,
2020,Computer Science,UK,Y,Computer Science,,8,,8,,7,,,,,
2020,Computer Science,UK,N,Computer Science,,7,,6.67,,6.33,,,,,
2020,Computer Science,UK,N,Computer Science,,5,,6.67,,6.33,,,,,
2020,Computer Science,UK,Y,Computer Science,,8,,9,,8,,,,,
2020,Computer Science,UK,N,Computer Science,,6.67,,6,,5,,,,,
2020,Computer Science,UK,N,Computer Science,,6,,6.67,,6.67,,,,,
2020,Computer Science,UK,N,Computer Science,,6.67,,7,,6.33,,,,,
2020,Computer Science,UK,N,Computer Science,,6.33,,6.67,,6,,,,,
2020,Computer Science,UK,Y,Computer Science,,6,,6,,7.33,9,,,,
2020,Computer Science,UK,Y,Computer Science,,8,,7.33,,8,,,,,
2020,Computer Science,UK,Y,Computer Science,,6.33,,7,,6.67,,,,,
2020,Computer Science,UK,Y,Computer Science,,7,,7,,8,,,,,
